"AI_Agent_Tag_Definition_Id__c","Created_Days__c","Created_Time__c","Demo_Identifier__c","Description__c","External_ID__c","Is_Active__c","Value__c"
"4cadbae4-bb77-493b-aafd-b3a8d182ce34","0.0","18:39:29","SKYWAVE_PHASE_4_5","Seat Change Requests","bed60ad3-4558-43b9-a5ea-06d58fe3bdcc","true","Seat Change Requests"
"4cadbae4-bb77-493b-aafd-b3a8d182ce34","0.0","18:39:29","SKYWAVE_PHASE_4_5","Seat Upgrade Requests","560e4777-8dfc-4ecd-aa43-643d9c351ac5","true","Seat Upgrade Requests"
"4cadbae4-bb77-493b-aafd-b3a8d182ce34","0.0","18:39:29","SKYWAVE_PHASE_4_5","Seat Assignment Corrections","2176793d-4536-4299-a815-665cd12e3689","true","Seat Assignment Corrections"
"4cadbae4-bb77-493b-aafd-b3a8d182ce34","0.0","18:39:29","SKYWAVE_PHASE_4_5","Flight Search and Booking","2d33fe06-0fb9-4956-a183-1d3bb672ddb7","true","Flight Search and Booking"
"4cadbae4-bb77-493b-aafd-b3a8d182ce34","0.0","18:39:29","SKYWAVE_PHASE_4_5","Reservation Modifications and Cancellations","6bfb174a-8001-4add-abf0-6d381e435574","true","Reservation Modifications and Cancellations"
"4cadbae4-bb77-493b-aafd-b3a8d182ce34","0.0","18:39:29","SKYWAVE_PHASE_4_5","Booking Confirmation Queries","ac0c4c75-904b-4cbd-a97e-fce7a397945a","true","Booking Confirmation Queries"
"4cadbae4-bb77-493b-aafd-b3a8d182ce34","0.0","18:39:29","SKYWAVE_PHASE_4_5","Mileage Balance Inquiries","981cada7-964f-4af6-a2c5-41f9a73aa021","true","Mileage Balance Inquiries"
"4cadbae4-bb77-493b-aafd-b3a8d182ce34","0.0","18:39:29","SKYWAVE_PHASE_4_5","Tier Status and Benefits","33d24820-e5ef-443f-a050-6eb5489180c6","true","Tier Status and Benefits"
"4cadbae4-bb77-493b-aafd-b3a8d182ce34","0.0","18:39:29","SKYWAVE_PHASE_4_5","Miles Redemption Requests","2883b794-f6d9-4a0e-aba0-5b86d2c4611e","true","Miles Redemption Requests"
"4cadbae4-bb77-493b-aafd-b3a8d182ce34","0.0","18:39:29","SKYWAVE_PHASE_4_5","Lost Baggage Claims","8b8f0ad6-2180-4df9-ad17-393b2d1daf41","true","Lost Baggage Claims"
"4cadbae4-bb77-493b-aafd-b3a8d182ce34","0.0","18:39:29","SKYWAVE_PHASE_4_5","In-Flight Service Complaints","b7100962-8e79-41cb-a1d9-3b96207d2954","true","In-Flight Service Complaints"
"4cadbae4-bb77-493b-aafd-b3a8d182ce34","0.0","18:39:29","SKYWAVE_PHASE_4_5","Refund Requests for Service Issues","bf97a1fb-438c-420f-a37b-d4e6cf4aea0e","true","Refund Requests for Service Issues"
"4cadbae4-bb77-493b-aafd-b3a8d182ce34","0.0","18:39:29","SKYWAVE_PHASE_4_5","Passenger Name Corrections","acf92f95-57da-46f9-aff0-c1b33d6cc9d4","true","Passenger Name Corrections"
"4cadbae4-bb77-493b-aafd-b3a8d182ce34","0.0","18:39:29","SKYWAVE_PHASE_4_5","Name Spelling Updates","0cc5b3be-ec6a-4ca7-a940-5bbf1f92a89a","true","Name Spelling Updates"
"4cadbae4-bb77-493b-aafd-b3a8d182ce34","0.0","18:39:29","SKYWAVE_PHASE_4_5","Off-Topic General Queries","84c29cfb-8468-49f6-aeed-f126d271a498","true","Off-Topic General Queries"
"4cadbae4-bb77-493b-aafd-b3a8d182ce34","0.0","18:39:29","SKYWAVE_PHASE_4_5","Unsupported Requests","f8b5e0e4-571a-46fe-aa92-fcd50b885cc5","true","Unsupported Requests"
"f2375b53-e483-45b8-af49-4eca235fe864","0.0","18:39:29","SKYWAVE_PHASE_4_5","1","a07613f1-f4c8-413f-a7ac-d8af0a446e4e","true","1"
"f2375b53-e483-45b8-af49-4eca235fe864","0.0","18:39:29","SKYWAVE_PHASE_4_5","2","bfa3f155-5222-4840-a6d3-fddc7e72ef30","true","2"
"f2375b53-e483-45b8-af49-4eca235fe864","0.0","18:39:29","SKYWAVE_PHASE_4_5","3","af9276e0-232c-453b-ab8e-a994f431cbff","true","3"
"f2375b53-e483-45b8-af49-4eca235fe864","0.0","18:39:29","SKYWAVE_PHASE_4_5","4","40c6f573-42d6-4b9d-a349-a5de3d11ffbe","true","4"
"f2375b53-e483-45b8-af49-4eca235fe864","0.0","18:39:29","SKYWAVE_PHASE_4_5","5","977bd81d-f2eb-40c7-a021-c4702b7cdf22","true","5"
