"AI_Agent_Channel_Type__c","AI_Agent_Session_End_Type__c","Demo_Identifier__c","End_Timestamp__c","External_ID__c","Individual__c","Previous_Session_Id__c","Related_Messaging_Session__c","Related_Voice_Call__c","Session_Owner_Object__c","Session_Owner__c","Start_Days__c","Start_Time__c","Variable__c"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-27T19:00:06.000Z","7e73d629-d8ed-47cc-a52d-f67e92978c3e","NOT_SET","NOT_SET","","","NOT_SET","","-7.0","18:59:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-24T14:20:57.000Z","6fca1511-a001-493d-a18e-d900d5c8e35a","NOT_SET","NOT_SET","","","NOT_SET","","-10.0","14:20:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-26T15:27:08.000Z","21b39ac1-ef27-46f8-a083-1049716257bf","NOT_SET","NOT_SET","","","NOT_SET","","-8.0","15:22:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-29T14:53:06.000Z","6f8a4776-f09f-4eec-a78d-296a0dfb2786","NOT_SET","NOT_SET","","","NOT_SET","","-5.0","14:45:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-26T18:41:56.000Z","73e4f2ed-19eb-4356-a669-55109b437c94","NOT_SET","NOT_SET","","","NOT_SET","","-8.0","18:38:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-06-01T10:41:26.000Z","ca56d848-cdc7-4125-abcd-71e979196093","NOT_SET","NOT_SET","","","NOT_SET","","-2.0","10:40:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-06-02T14:30:18.000Z","7c4ac7b5-8fda-4aa6-a0ae-11a628fab688","NOT_SET","NOT_SET","","","NOT_SET","","-1.0","14:24:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-31T11:32:40.000Z","03b41a51-9fec-4279-a37b-d6995ae387ec","NOT_SET","NOT_SET","","","NOT_SET","","-3.0","11:25:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-06-01T08:11:07.000Z","f91b856c-4e71-4821-a2a6-e5fe68d84610","NOT_SET","NOT_SET","","","NOT_SET","","-2.0","08:10:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-24T08:15:19.000Z","206bc0ec-59be-4520-a666-b54b70fa1d1c","NOT_SET","NOT_SET","","","NOT_SET","","-10.0","08:12:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-25T14:35:02.000Z","3d839c22-f9f5-4ac6-a322-6e270f3c7684","NOT_SET","NOT_SET","","","NOT_SET","","-9.0","14:33:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-28T08:04:46.000Z","c2fa2845-f102-4bf8-a95d-a505f9b38bb9","NOT_SET","NOT_SET","","","NOT_SET","","-6.0","08:03:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-24T08:17:15.000Z","0c5bad76-92bc-45c9-aef6-3abf4fa5de9c","NOT_SET","NOT_SET","","","NOT_SET","","-10.0","08:13:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-06-02T15:11:01.000Z","e3db960d-710c-4d96-a58c-11beb9e26fda","NOT_SET","NOT_SET","","","NOT_SET","","-1.0","15:07:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-21T18:04:22.000Z","3558ee33-c510-4b83-a0f9-cfc4c599b9bc","NOT_SET","NOT_SET","","","NOT_SET","","-13.0","18:02:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-31T09:08:06.000Z","25a98ac2-95a9-43a8-a4ab-76b613cf9ffe","NOT_SET","NOT_SET","","","NOT_SET","","-3.0","09:04:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-25T14:24:50.000Z","cac584e0-9e70-4a2e-abec-25caa6f3146e","NOT_SET","NOT_SET","","","NOT_SET","","-9.0","14:16:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-06-02T19:40:14.000Z","8e367453-c31e-452b-a42c-a40c64adfdf5","NOT_SET","NOT_SET","","","NOT_SET","","-1.0","19:39:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-21T18:15:40.000Z","3648a988-5c8f-4eeb-a5c6-b14d73bd687a","NOT_SET","NOT_SET","","","NOT_SET","","-13.0","18:08:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-24T15:05:03.000Z","45d1fd02-36b6-487d-a87c-d528a8114087","NOT_SET","NOT_SET","","","NOT_SET","","-10.0","15:04:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-22T09:51:20.000Z","14b2d4fa-6cbf-424e-a429-9a7da02e87ec","NOT_SET","NOT_SET","","","NOT_SET","","-12.0","09:49:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-29T16:28:12.000Z","6b1caea2-ad67-4922-af12-83333c219dd7","NOT_SET","NOT_SET","","","NOT_SET","","-5.0","16:20:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-24T13:44:34.000Z","2a3c5541-65b0-4bc8-a1ac-6de7f5138679","NOT_SET","NOT_SET","","","NOT_SET","","-10.0","13:44:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-06-02T13:56:40.000Z","fb62c36b-fd29-4e70-a606-6c709dc951d7","NOT_SET","NOT_SET","","","NOT_SET","","-1.0","13:51:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-30T19:50:28.000Z","2d7a7c19-6b2a-4f5b-aab7-2bac527dfd91","NOT_SET","NOT_SET","","","NOT_SET","","-4.0","19:50:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-27T15:28:03.000Z","1e2a4660-a4d7-4bee-a438-d925f4369077","NOT_SET","NOT_SET","","","NOT_SET","","-7.0","15:27:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-22T08:52:17.000Z","551fc493-e42e-4281-a013-e9233d7a7df0","NOT_SET","NOT_SET","","","NOT_SET","","-12.0","08:47:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-22T18:25:18.000Z","6a028b10-3524-4224-a001-cfea6fbcb3f6","NOT_SET","NOT_SET","","","NOT_SET","","-12.0","18:24:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-24T19:03:54.000Z","86c88c4b-90dd-4350-ac31-c63603f4d636","NOT_SET","NOT_SET","","","NOT_SET","","-10.0","18:59:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-21T12:46:28.000Z","5ff5713c-a7a9-4937-a7fc-1a8bd138545e","NOT_SET","NOT_SET","","","NOT_SET","","-13.0","12:42:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-21T19:58:36.000Z","badde09e-5dbf-4155-ac64-0af353c0a724","NOT_SET","NOT_SET","","","NOT_SET","","-13.0","19:54:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-27T13:50:11.000Z","458ea171-e9c6-4450-a2c7-c2c0e500b499","NOT_SET","NOT_SET","","","NOT_SET","","-7.0","13:49:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-23T09:15:03.000Z","98f532e7-c750-4ed1-aee0-a35571f47700","NOT_SET","NOT_SET","","","NOT_SET","","-11.0","09:14:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-06-02T08:07:22.000Z","835c4acd-8ae2-4830-ab31-1d287cd61ff4","NOT_SET","NOT_SET","","","NOT_SET","","-1.0","08:07:00","NOT_SET"
"SCRT2 - EmbeddedMessaging","resolved","SKYWAVE_PHASE_4_5","2026-05-20T14:02:42.000Z","2528817f-5027-45a8-ae93-b2a3a0f9d918","NOT_SET","NOT_SET","","","NOT_SET","","-14.0","14:02:00","NOT_SET"
