"AI_Agent_Api_Name__c","AI_Agent_Session_Participant_Role__c","AI_Agent_Session__c","AI_Agent_Template_Api_Name__c","AI_Agent_Type__c","AI_Agent_Version_Api_Name__c","Demo_Identifier__c","End_Timestamp__c","External_ID__c","Individual__c","Participant_Attribute__c","Participant_Object__c","Participant__c","Start_Days__c","Start_Time__c"
"Skywave_Airlines_Agent","AGENT","7e73d629-d8ed-47cc-a52d-f67e92978c3e","","EinsteinServiceAgent","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","2026-05-27T19:00:06.000Z","ae73d629-d8ed-47cc-a52d-f67e92978c3e","","{}","GenAiPlannerDefinition","16jg8000000P8QbAAK","-7.0","18:59:00"
"Skywave_Airlines_Agent","USER","7e73d629-d8ed-47cc-a52d-f67e92978c3e","","EinsteinServiceAgent","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","2026-05-27T19:00:06.000Z","ue73d629-d8ed-47cc-a52d-f67e92978c3e","","{}","MessagingEndUser","0PAg8000000ZMaLGAW","-7.0","18:59:00"
"Skywave_Airlines_Agent","AGENT","6fca1511-a001-493d-a18e-d900d5c8e35a","","EinsteinServiceAgent","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","2026-05-24T14:20:57.000Z","afca1511-a001-493d-a18e-d900d5c8e35a","","{}","GenAiPlannerDefinition","16jg8000000P8QbAAK","-10.0","14:20:00"
"Skywave_Airlines_Agent","USER","6fca1511-a001-493d-a18e-d900d5c8e35a","","EinsteinServiceAgent","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","2026-05-24T14:20:57.000Z","ufca1511-a001-493d-a18e-d900d5c8e35a","","{}","MessagingEndUser","0PAg8000000ZOM1GAO","-10.0","14:20:00"
"Skywave_Airlines_Agent","AGENT","21b39ac1-ef27-46f8-a083-1049716257bf","","EinsteinServiceAgent","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","2026-05-26T15:27:08.000Z","a1b39ac1-ef27-46f8-a083-1049716257bf","","{}","GenAiPlannerDefinition","16jg8000000P8QbAAK","-8.0","15:22:00"
"Skywave_Airlines_Agent","USER","21b39ac1-ef27-46f8-a083-1049716257bf","","EinsteinServiceAgent","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","2026-05-26T15:27:08.000Z","u1b39ac1-ef27-46f8-a083-1049716257bf","","{}","MessagingEndUser","0PAg8000000ZOgzGAG","-8.0","15:22:00"
"Skywave_Airlines_Agent","AGENT","6f8a4776-f09f-4eec-a78d-296a0dfb2786","","EinsteinServiceAgent","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","2026-05-29T14:53:06.000Z","af8a4776-f09f-4eec-a78d-296a0dfb2786","","{}","GenAiPlannerDefinition","16jg8000000P8QbAAK","-5.0","14:45:00"
"Skywave_Airlines_Agent","USER","6f8a4776-f09f-4eec-a78d-296a0dfb2786","","EinsteinServiceAgent","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","2026-05-29T14:53:06.000Z","uf8a4776-f09f-4eec-a78d-296a0dfb2786","","{}","MessagingEndUser","0PAg8000000ZOibGAG","-5.0","14:45:00"
"Skywave_Airlines_Agent","AGENT","73e4f2ed-19eb-4356-a669-55109b437c94","","EinsteinServiceAgent","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","2026-05-26T18:41:56.000Z","a3e4f2ed-19eb-4356-a669-55109b437c94","","{}","GenAiPlannerDefinition","16jg8000000P8QbAAK","-8.0","18:38:00"
"Skywave_Airlines_Agent","USER","73e4f2ed-19eb-4356-a669-55109b437c94","","EinsteinServiceAgent","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","2026-05-26T18:41:56.000Z","u3e4f2ed-19eb-4356-a669-55109b437c94","","{}","MessagingEndUser","0PAg8000000ZOvVGAW","-8.0","18:38:00"
