"AI_Agent_Session__c","Ai_Agent_Interaction_Type__c","Attribute__c","Demo_Identifier__c","End_Days__c","End_Time__c","External_ID__c","Individual__c","Previous_Interaction__c","Session_Owner_Object__c","Session_Owner__c","Start_Days__c","Start_Time__c","Telemetry_Trace_Span__c","Telemetry_Trace__c","Topic_API_Name__c"
"5cf1fc74-d2e4-419d-a70d-26ea7e964a84","TURN","","SKYWAVE_PHASE_4_5","-6.0","18:01:04","a5d1a5a1-afd2-4aaa-a76b-5ed43a1f338f","","","MessagingEndUser","0PAg8000000ZMaLGAW","-6.0","18:01:00","08f0c1eb-f8c7-4a98-a228-c89af89a71c8","fc2bc6f5-263b-47de-ae91-e967c100b7e2","off_topic"
"5cf1fc74-d2e4-419d-a70d-26ea7e964a84","TURN","","SKYWAVE_PHASE_4_5","-6.0","18:01:53","7f8e0c6a-cdd1-4c8a-a7ac-26269b25655c","","","MessagingEndUser","0PAg8000000ZMaLGAW","-6.0","18:01:51","c9c56b58-8300-4c15-a656-d35357eb17df","276c310c-c579-4726-a93b-f4ef01c211f6","off_topic"
"5cf1fc74-d2e4-419d-a70d-26ea7e964a84","SESSION_END","","SKYWAVE_PHASE_4_5","-6.0","18:01:53","3b6ebb6d-c19d-4195-a31f-7c6f3539475f","","","","","-6.0","18:01:53","191e9697-47a9-40e4-a6d1-c202a2b1a48d","613567d1-211a-4e08-a021-fece3d1b53ff","NOT_SET"
"219da89a-c5cd-4fdf-a612-b98d244a5bcb","TURN","","SKYWAVE_PHASE_4_5","-4.0","08:24:03","e2074bd2-b8ce-44d9-a24d-8eca827749cd","","","MessagingEndUser","0PAg8000000ZOM1GAO","-4.0","08:24:00","fe2da920-0974-45be-adaa-29f98d19f714","dee7fe03-c648-435a-a22a-be7863244401","mileage_account"
"219da89a-c5cd-4fdf-a612-b98d244a5bcb","TURN","","SKYWAVE_PHASE_4_5","-4.0","08:26:12","75690e61-d8ac-4eb6-a52e-b306ea8573ed","","","MessagingEndUser","0PAg8000000ZOM1GAO","-4.0","08:26:08","cf232a95-dba6-4480-ad0d-a8b9aaeab409","6301a3b2-b979-4bcc-a77f-712464bfc09f","mileage_account"
"219da89a-c5cd-4fdf-a612-b98d244a5bcb","SESSION_END","","SKYWAVE_PHASE_4_5","-4.0","08:26:12","c2930101-20bc-4983-a508-2dc15cec6c3a","","","","","-4.0","08:26:12","a802c993-0169-40c3-ab2d-c9d540de5b60","aa57a9c6-ddd0-4f09-a3d5-02cc68973c3a","NOT_SET"
"9a68f314-dc0e-48d1-aed7-44af7c2479c9","TURN","","SKYWAVE_PHASE_4_5","-5.0","10:00:04","99344dd8-6b00-4196-a053-d4930fb42516","","","MessagingEndUser","0PAg8000000ZOgzGAG","-5.0","10:00:00","33fd141e-4451-4f47-a680-439b7b91f02e","a66ce254-a99d-4a28-abab-c98e779c31a0","flight_management"
"9a68f314-dc0e-48d1-aed7-44af7c2479c9","TURN","","SKYWAVE_PHASE_4_5","-5.0","10:00:57","9ccf136f-b2da-423f-a2b0-d5d369aa1d14","","","MessagingEndUser","0PAg8000000ZOgzGAG","-5.0","10:00:53","d0b5dcf5-485c-4ea3-a3b4-8697875b8925","597aa515-8bfe-47dd-a840-d714c6a2e1a7","flight_management"
"9a68f314-dc0e-48d1-aed7-44af7c2479c9","SESSION_END","","SKYWAVE_PHASE_4_5","-5.0","10:00:57","35477c6e-d90d-48b9-a39b-a0794e7f92c3","","","","","-5.0","10:00:57","a74f32f9-4591-4bd3-aad8-dc6424de6a07","02edaa1c-2b7f-4fa0-a15b-587bef99ba3e","NOT_SET"
"5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","TURN","","SKYWAVE_PHASE_4_5","-3.0","19:45:02","c226328e-9622-427e-ac45-ba42fd4e9f20","","","MessagingEndUser","0PAg8000000ZOibGAG","-3.0","19:45:00","8c3c6c28-f48e-4e1c-abbf-0bf2b5825bd5","b90774a5-d747-4e5f-a806-610200988307","flight_management"
"5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","TURN","","SKYWAVE_PHASE_4_5","-3.0","19:45:32","980f766b-3c39-474a-a383-3dfee2d7e98f","","","MessagingEndUser","0PAg8000000ZOibGAG","-3.0","19:45:30","cec2e8f0-5998-4336-a7ac-4ccd88648780","6794396b-442d-4611-aaf7-dee3b69e0cfb","flight_management"
"5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","TURN","","SKYWAVE_PHASE_4_5","-3.0","19:46:15","ffac429f-ea59-4b18-a1da-85c009a37b2f","","","MessagingEndUser","0PAg8000000ZOibGAG","-3.0","19:46:13","8c902b6d-a4e5-4dbb-aed6-93b93adf69bb","5c6adc9a-daa8-45f0-a90b-7ba372bec3f0","flight_management"
"5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","TURN","","SKYWAVE_PHASE_4_5","-3.0","19:46:34","2845e3a9-f275-4c15-a065-f76875a9f374","","","MessagingEndUser","0PAg8000000ZOibGAG","-3.0","19:46:32","5ba8eab3-19fc-49bb-af0c-31aedd38bef7","0ba562ae-880c-4b19-ade2-aed512dc7ae3","flight_management"
